district,location,rooms,area,floor,total_floors,price,area_per_room
Abşeron,Ceyranbatan,3.0,110.0,7.0,9.0,150500.0,36.666666666666664
Abşeron,Masazır,2.0,45.0,5.0,8.0,60000.0,22.5
Abşeron,Mehdiabad,3.0,111.0,3.0,9.0,141500.0,37.0
Abşeron,Saray,3.0,100.0,4.0,12.0,134000.0,33.333333333333336
Abşeron,Ceyranbatan,3.0,114.0,9.0,16.0,170500.0,38.0
Abşeron,Ceyranbatan,2.0,63.0,3.0,14.0,79500.0,31.5
Abşeron,Masazır,2.0,68.0,11.0,16.0,82500.0,34.0
Abşeron,Masazır,2.0,58.0,1.0,7.0,83500.0,29.0
Abşeron,Ceyranbatan,2.0,69.0,7.0,10.0,102500.0,34.5
Abşeron,Masazır,3.0,90.0,4.0,12.0,138000.0,30.0
Abşeron,Mehdiabad,3.0,90.0,2.0,11.0,120000.0,30.0
Abşeron,Masazır,3.0,113.0,3.0,14.0,158500.0,37.666666666666664
Abşeron,Ceyranbatan,2.0,81.0,4.0,5.0,116000.0,40.5
Abşeron,Masazır,3.0,79.0,7.0,16.0,107000.0,26.333333333333332
Abşeron,Ceyranbatan,2.0,80.0,7.0,9.0,111500.0,40.0
Abşeron,Saray,2.0,49.0,4.0,7.0,64000.0,24.5
Abşeron,Ceyranbatan,2.0,70.0,1.0,5.0,94000.0,35.0
Abşeron,Masazır,2.0,77.0,6.0,8.0,102500.0,38.5
Abşeron,Saray,2.0,74.0,5.0,5.0,105000.0,37.0
Abşeron,Masazır,2.0,83.0,5.0,5.0,104000.0,41.5
Abşeron,Masazır,3.0,84.0,14.0,16.0,116000.0,28.0
Abşeron,Saray,3.0,79.0,4.0,5.0,103000.0,26.333333333333332
Abşeron,Mehdiabad,3.0,97.0,8.0,12.0,120000.0,32.333333333333336
Abşeron,Saray,2.0,47.0,5.0,5.0,62500.0,23.5
Abşeron,Ceyranbatan,3.0,113.0,2.0,5.0,157000.0,37.666666666666664
Abşeron,Masazır,2.0,58.0,6.0,17.0,76000.0,29.0
Abşeron,Mehdiabad,3.0,95.0,4.0,4.0,125000.0,31.666666666666668
Abşeron,Ceyranbatan,3.0,109.0,1.0,5.0,123500.0,36.333333333333336
Abşeron,Mehdiabad,2.0,64.0,2.0,4.0,74000.0,32.0
Abşeron,Mehdiabad,2.0,55.0,3.0,12.0,66500.0,27.5
Abşeron,Ceyranbatan,2.0,76.0,3.0,9.0,102500.0,38.0
Abşeron,Mehdiabad,4.0,137.0,13.0,14.0,150500.0,34.25
Abşeron,Mehdiabad,3.0,102.0,3.0,4.0,113000.0,34.0
Abşeron,Masazır,2.0,83.0,5.0,9.0,117500.0,41.5
Abşeron,Masazır,3.0,92.0,4.0,5.0,122500.0,30.666666666666668
Abşeron,Ceyranbatan,1.0,50.0,11.0,16.0,76500.0,50.0
Abşeron,Masazır,2.0,66.0,5.0,6.0,92000.0,33.0
Abşeron,Masazır,3.0,106.0,5.0,8.0,152000.0,35.333333333333336
Abşeron,Masazır,2.0,56.0,5.0,5.0,80500.0,28.0
Abşeron,Masazır,2.0,83.0,2.0,14.0,140000.0,41.5
Abşeron,Saray,2.0,70.0,3.0,7.0,92000.0,35.0
Abşeron,Saray,2.0,67.0,1.0,9.0,84000.0,33.5
Abşeron,Ceyranbatan,2.0,68.0,1.0,12.0,76500.0,34.0
Abşeron,Masazır,3.0,87.0,5.0,5.0,104000.0,29.0
Abşeron,Mehdiabad,2.0,65.0,3.0,5.0,89500.0,32.5
Abşeron,Saray,3.0,95.0,5.0,9.0,123500.0,31.666666666666668
Abşeron,Masazır,2.0,52.0,2.0,12.0,76000.0,26.0
Abşeron,Mehdiabad,2.0,65.0,2.0,5.0,76500.0,32.5
Abşeron,Ceyranbatan,2.0,77.0,12.0,12.0,87000.0,38.5
Abşeron,Mehdiabad,2.0,69.0,5.0,9.0,96500.0,34.5
Abşeron,Ceyranbatan,3.0,114.0,4.0,9.0,139000.0,38.0
Abşeron,Masazır,2.0,82.0,2.0,14.0,122000.0,41.0
Abşeron,Masazır,1.0,53.0,4.0,9.0,87500.0,53.0
Abşeron,Saray,4.0,111.0,17.0,17.0,149500.0,27.75
Abşeron,Masazır,1.0,47.0,12.0,17.0,76500.0,47.0
Abşeron,Saray,3.0,105.0,9.0,17.0,153500.0,35.0
Abşeron,Saray,3.0,86.0,14.0,17.0,117000.0,28.666666666666668
Abşeron,Saray,1.0,52.0,14.0,14.0,65000.0,52.0
Abşeron,Mehdiabad,3.0,102.0,1.0,5.0,112500.0,34.0
Abşeron,Saray,1.0,39.0,10.0,12.0,58500.0,39.0
Abşeron,Mehdiabad,2.0,55.0,1.0,11.0,72000.0,27.5
Abşeron,Mehdiabad,2.0,50.0,9.0,11.0,71000.0,25.0
Abşeron,Masazır,2.0,54.0,6.0,14.0,71500.0,27.0
Abşeron,Ceyranbatan,2.0,69.0,2.0,5.0,81000.0,34.5
Abşeron,Mehdiabad,3.0,111.0,3.0,4.0,137500.0,37.0
Abşeron,Ceyranbatan,2.0,57.0,4.0,14.0,85500.0,28.5
Abşeron,Saray,2.0,72.0,16.0,16.0,96000.0,36.0
Abşeron,Masazır,2.0,43.0,7.0,8.0,65500.0,21.5
Abşeron,Mehdiabad,3.0,94.0,1.0,14.0,110500.0,31.333333333333332
Abşeron,Mehdiabad,2.0,86.0,1.0,6.0,93000.0,43.0
Abşeron,Saray,3.0,60.0,13.0,17.0,84500.0,20.0
Abşeron,Saray,3.0,85.0,6.0,9.0,99000.0,28.333333333333332
Abşeron,Ceyranbatan,2.0,69.0,2.0,16.0,95000.0,34.5
Abşeron,Ceyranbatan,3.0,106.0,1.0,5.0,123000.0,35.333333333333336
Abşeron,Ceyranbatan,3.0,94.0,10.0,16.0,126500.0,31.333333333333332
Abşeron,Masazır,3.0,103.0,4.0,14.0,140500.0,34.333333333333336
Abşeron,Masazır,2.0,77.0,4.0,8.0,106500.0,38.5
Abşeron,Masazır,3.0,88.0,2.0,12.0,123000.0,29.333333333333332
Abşeron,Masazır,3.0,71.0,9.0,14.0,108000.0,23.666666666666668
Abşeron,Mehdiabad,2.0,65.0,3.0,4.0,76500.0,32.5
Abşeron,Masazır,3.0,84.0,6.0,14.0,127500.0,28.0
Abşeron,Masazır,3.0,107.0,3.0,12.0,133000.0,35.666666666666664
Abşeron,Ceyranbatan,2.0,78.0,2.0,5.0,89500.0,39.0
Abşeron,Masazır,3.0,94.0,2.0,9.0,121500.0,31.333333333333332
Abşeron,Masazır,2.0,48.0,9.0,17.0,66500.0,24.0
Abşeron,Mehdiabad,3.0,109.0,12.0,14.0,117500.0,36.333333333333336
Abşeron,Saray,2.0,60.0,4.0,12.0,76500.0,30.0
Abşeron,Masazır,3.0,109.0,9.0,9.0,135000.0,36.333333333333336
Abşeron,Saray,1.0,42.0,3.0,7.0,55500.0,42.0
Abşeron,Mehdiabad,1.0,38.0,3.0,11.0,52500.0,38.0
Abşeron,Saray,2.0,60.0,9.0,17.0,82500.0,30.0
Abşeron,Saray,2.0,74.0,3.0,12.0,102500.0,37.0
Abşeron,Masazır,1.0,44.0,5.0,5.0,60500.0,44.0
Abşeron,Masazır,2.0,73.0,8.0,9.0,91000.0,36.5
Abşeron,Masazır,2.0,45.0,2.0,14.0,63500.0,22.5
Abşeron,Masazır,2.0,46.0,2.0,12.0,70500.0,23.0
Abşeron,Mehdiabad,3.0,93.0,6.0,11.0,108500.0,31.0
Abşeron,Ceyranbatan,2.0,80.0,3.0,10.0,114500.0,40.0
Abşeron,Ceyranbatan,2.0,63.0,1.0,5.0,87500.0,31.5
Abşeron,Saray,2.0,78.0,14.0,14.0,86000.0,39.0
Abşeron,Mehdiabad,3.0,123.0,4.0,4.0,137000.0,41.0
Abşeron,Masazır,3.0,95.0,7.0,8.0,127000.0,31.666666666666668
Abşeron,Masazır,2.0,79.0,7.0,7.0,117500.0,39.5
Abşeron,Ceyranbatan,3.0,75.0,3.0,9.0,111000.0,25.0
Abşeron,Mehdiabad,3.0,77.0,5.0,12.0,101000.0,25.666666666666668
Abşeron,Masazır,2.0,48.0,4.0,9.0,63500.0,24.0
Abşeron,Ceyranbatan,2.0,60.0,4.0,14.0,78000.0,30.0
Abşeron,Masazır,4.0,121.0,6.0,9.0,152000.0,30.25
Abşeron,Saray,3.0,75.0,6.0,17.0,99500.0,25.0
Abşeron,Ceyranbatan,3.0,72.0,7.0,14.0,97000.0,24.0
Abşeron,Saray,4.0,110.0,12.0,12.0,132500.0,27.5
Abşeron,Saray,2.0,80.0,13.0,14.0,103500.0,40.0
Abşeron,Masazır,2.0,78.0,13.0,16.0,110000.0,39.0
Abşeron,Ceyranbatan,2.0,67.0,10.0,10.0,93000.0,33.5
Abşeron,Ceyranbatan,2.0,63.0,3.0,14.0,76500.0,31.5
Abşeron,Masazır,1.0,50.0,4.0,6.0,82000.0,50.0
Abşeron,Masazır,3.0,70.0,5.0,5.0,95000.0,23.333333333333332
Abşeron,Masazır,3.0,82.0,5.0,17.0,108500.0,27.333333333333332
Abşeron,Saray,2.0,72.0,6.0,7.0,101500.0,36.0
Abşeron,Ceyranbatan,3.0,118.0,6.0,10.0,153000.0,39.333333333333336
Abşeron,Mehdiabad,4.0,137.0,7.0,14.0,171000.0,34.25
Abşeron,Masazır,3.0,73.0,9.0,14.0,101000.0,24.333333333333332
Abşeron,Mehdiabad,2.0,75.0,1.0,9.0,79500.0,37.5
Abşeron,Masazır,3.0,72.0,6.0,9.0,94500.0,24.0
Abşeron,Masazır,2.0,63.0,1.0,8.0,78000.0,31.5
Abşeron,Ceyranbatan,3.0,111.0,6.0,14.0,131000.0,37.0
Abşeron,Ceyranbatan,3.0,112.0,6.0,14.0,139000.0,37.333333333333336
Abşeron,Ceyranbatan,3.0,75.0,1.0,5.0,84000.0,25.0
Abşeron,Masazır,2.0,59.0,7.0,9.0,88500.0,29.5
Abşeron,Masazır,2.0,61.0,5.0,10.0,77000.0,30.5
Abşeron,Ceyranbatan,3.0,103.0,4.0,5.0,131000.0,34.333333333333336
Abşeron,Mehdiabad,2.0,80.0,6.0,6.0,94500.0,40.0
Abşeron,Mehdiabad,2.0,86.0,11.0,11.0,111500.0,43.0
Abşeron,Masazır,1.0,49.0,8.0,10.0,72000.0,49.0
Abşeron,Saray,2.0,71.0,6.0,9.0,103000.0,35.5
Abşeron,Mehdiabad,1.0,53.0,10.0,14.0,69500.0,53.0
Abşeron,Mehdiabad,3.0,78.0,4.0,4.0,93000.0,26.0
Abşeron,Saray,2.0,67.0,1.0,14.0,78000.0,33.5
Abşeron,Saray,2.0,46.0,12.0,14.0,69000.0,23.0
Abşeron,Ceyranbatan,3.0,102.0,8.0,10.0,129000.0,34.0
