district,location,rooms,area,floor,total_floors,price
abseron,ceyranbatan,3,110,7,9,150500
abseron,masazir,2,45,5,8,60000
abseron,mehdiabad,3,111,3,9,141500
abseron,saray,3,100,4,12,134000
abseron,ceyranbatan,3,114,9,16,170500
abseron,ceyranbatan,2,63,3,14,79500
abseron,masazir,2,68,11,16,82500
abseron,masazir,2,58,1,7,83500
abseron,ceyranbatan,2,69,7,10,102500
abseron,masazir,3,90,4,12,138000
abseron,mehdiabad,3,90,2,11,120000
abseron,masazir,3,113,3,14,158500
abseron,ceyranbatan,2,81,4,5,116000
abseron,masazir,3,79,7,16,107000
abseron,ceyranbatan,2,80,7,9,111500
abseron,saray,2,49,4,7,64000
abseron,ceyranbatan,2,70,1,5,94000
abseron,masazir,2,77,6,8,102500
abseron,saray,2,74,5,5,105000
abseron,masazir,2,83,5,5,104000
abseron,masazir,3,84,14,16,116000
abseron,saray,3,79,4,5,103000
abseron,mehdiabad,3,97,8,12,120000
abseron,saray,2,47,5,5,62500
abseron,ceyranbatan,3,113,2,5,157000
abseron,masazir,2,58,6,17,76000
abseron,mehdiabad,3,95,4,4,125000
abseron,ceyranbatan,3,109,1,5,123500
abseron,mehdiabad,2,64,2,4,74000
abseron,mehdiabad,2,55,3,12,66500
abseron,ceyranbatan,2,76,3,9,102500
abseron,mehdiabad,4,137,13,14,150500
abseron,mehdiabad,3,102,3,4,113000
abseron,masazir,2,83,5,9,117500
abseron,masazir,3,92,4,5,122500
abseron,ceyranbatan,1,50,11,16,76500
abseron,masazir,2,66,5,6,92000
abseron,masazir,3,106,5,8,152000
abseron,masazir,2,56,5,5,80500
abseron,masazir,2,83,2,14,140000
abseron,saray,2,70,3,7,92000
abseron,saray,2,67,1,9,84000
abseron,ceyranbatan,2,68,1,12,76500
abseron,masazir,3,87,5,5,104000
abseron,mehdiabad,2,65,3,5,89500
abseron,saray,3,95,5,9,123500
abseron,masazir,2,52,2,12,76000
abseron,mehdiabad,2,65,2,5,76500
abseron,ceyranbatan,2,77,12,12,87000
abseron,mehdiabad,2,69,5,9,96500
abseron,ceyranbatan,3,114,4,9,139000
abseron,masazir,2,82,2,14,122000
abseron,masazir,1,53,4,9,87500
abseron,saray,4,111,17,17,149500
abseron,masazir,1,47,12,17,76500
abseron,saray,3,105,9,17,153500
abseron,saray,3,86,14,17,117000
abseron,saray,1,52,14,14,65000
abseron,mehdiabad,3,102,1,5,112500
abseron,saray,1,39,10,12,58500
abseron,mehdiabad,2,55,1,11,72000
abseron,mehdiabad,2,50,9,11,71000
abseron,masazir,2,54,6,14,71500
abseron,ceyranbatan,2,69,2,5,81000
abseron,mehdiabad,3,111,3,4,137500
abseron,ceyranbatan,2,57,4,14,85500
abseron,saray,2,72,16,16,96000
abseron,masazir,2,43,7,8,65500
abseron,mehdiabad,3,94,1,14,110500
abseron,mehdiabad,2,86,1,6,93000
abseron,saray,3,60,13,17,84500
abseron,saray,3,85,6,9,99000
abseron,ceyranbatan,2,69,2,16,95000
abseron,ceyranbatan,3,106,1,5,123000
abseron,ceyranbatan,3,94,10,16,126500
abseron,masazir,3,103,4,14,140500
abseron,masazir,2,77,4,8,106500
abseron,masazir,3,88,2,12,123000
abseron,masazir,3,71,9,14,108000
abseron,mehdiabad,2,65,3,4,76500
abseron,masazir,3,84,6,14,127500
abseron,masazir,3,107,3,12,133000
abseron,ceyranbatan,2,78,2,5,89500
abseron,masazir,3,94,2,9,121500
abseron,masazir,2,48,9,17,66500
abseron,mehdiabad,3,109,12,14,117500
abseron,saray,2,60,4,12,76500
abseron,masazir,3,109,9,9,135000
abseron,saray,1,42,3,7,55500
abseron,mehdiabad,1,38,3,11,52500
abseron,saray,2,60,9,17,82500
abseron,saray,2,74,3,12,102500
abseron,masazir,1,44,5,5,60500
abseron,masazir,2,73,8,9,91000
abseron,masazir,2,45,2,14,63500
abseron,masazir,2,46,2,12,70500
abseron,mehdiabad,3,93,6,11,108500
abseron,ceyranbatan,2,80,3,10,114500
abseron,ceyranbatan,2,63,1,5,87500
abseron,saray,2,78,14,14,86000
abseron,mehdiabad,3,123,4,4,137000
abseron,masazir,3,95,7,8,127000
abseron,masazir,2,79,7,7,117500
abseron,ceyranbatan,3,75,3,9,111000
abseron,mehdiabad,3,77,5,12,101000
abseron,masazir,2,48,4,9,63500
abseron,ceyranbatan,2,60,4,14,78000
abseron,masazir,4,121,6,9,152000
abseron,saray,3,75,6,17,99500
abseron,ceyranbatan,3,72,7,14,97000
abseron,saray,4,110,12,12,132500
abseron,saray,2,80,13,14,103500
abseron,masazir,2,78,13,16,110000
abseron,ceyranbatan,2,67,10,10,93000
abseron,ceyranbatan,2,63,3,14,76500
abseron,masazir,1,50,4,6,82000
abseron,masazir,3,70,5,5,95000
abseron,masazir,3,82,5,17,108500
abseron,saray,2,72,6,7,101500
abseron,ceyranbatan,3,118,6,10,153000
abseron,mehdiabad,4,137,7,14,171000
abseron,masazir,3,73,9,14,101000
abseron,mehdiabad,2,75,1,9,79500
abseron,masazir,3,72,6,9,94500
abseron,masazir,2,63,1,8,78000
abseron,ceyranbatan,3,111,6,14,131000
abseron,ceyranbatan,3,112,6,14,139000
abseron,ceyranbatan,3,75,1,5,84000
abseron,masazir,2,59,7,9,88500
abseron,masazir,2,61,5,10,77000
abseron,ceyranbatan,3,103,4,5,131000
abseron,mehdiabad,2,80,6,6,94500
abseron,mehdiabad,2,86,11,11,111500
abseron,masazir,1,49,8,10,72000
abseron,saray,2,71,6,9,103000
abseron,mehdiabad,1,53,10,14,69500
abseron,mehdiabad,3,78,4,4,93000
abseron,saray,2,67,1,14,78000
abseron,saray,2,46,12,14,69000
