district,location,rooms,area,floor,total_floors,area_per_room,actual_price,predicted_price,absolute_error,percentage_error
Xətai,Ağ Şəhər,4.0,155.0,6.0,16.0,38.75,472000.0,749035.85,277035.85,58.69
Xətai,Ağ Şəhər,4.0,158.0,3.0,7.0,39.5,961000.0,796469.94,164530.06000000006,17.12
Nərimanov,Böyükşor,4.0,153.0,1.0,18.0,38.25,385000.0,539607.98,154607.97999999998,40.16
Xətai,Ağ Şəhər,3.0,132.0,8.0,8.0,44.0,503000.0,645871.44,142871.43999999994,28.4
Xətai,Ağ Şəhər,3.0,88.0,18.0,20.0,29.333333333333332,497000.0,359354.31,137645.69,27.7
Xətai,Ağ Şəhər,3.0,131.0,6.0,7.0,43.666666666666664,509000.0,645118.85,136118.84999999998,26.74
Sabunçu,Sea Breeze,4.0,121.0,4.0,7.0,30.25,720000.0,586835.24,133164.76,18.5
Xətai,Ağ Şəhər,4.0,176.0,2.0,18.0,44.0,1000000.0,869946.01,130053.98999999999,13.01
Nərimanov,Böyükşor,4.0,209.0,15.0,16.0,52.25,570000.0,690704.94,120704.93999999994,21.18
Xətai,Ağ Şəhər,3.0,133.0,1.0,7.0,44.333333333333336,504000.0,623753.5,119753.5,23.76
Nəsimi,Kubinka,4.0,150.0,2.0,5.0,37.5,732000.0,615225.62,116774.38,15.95
Sabunçu,Sea Breeze,2.0,91.0,13.0,14.0,45.5,297000.0,413500.86,116500.85999999999,39.23
Sabunçu,Sea Breeze,2.0,73.0,4.0,9.0,36.5,268000.0,383331.04,115331.03999999998,43.03
Nərimanov,Böyükşor,3.0,141.0,6.0,15.0,47.0,652000.0,539856.49,112143.51000000001,17.2
Xətai,Ağ Şəhər,2.0,69.0,11.0,16.0,34.5,373000.0,264254.19,108745.81,29.15
Nərimanov,Böyükşor,5.0,195.0,15.0,17.0,39.0,584000.0,691810.91,107810.91000000003,18.46
Nəsimi,Kubinka,3.0,76.0,2.0,5.0,25.333333333333332,380000.0,272583.83,107416.16999999998,28.27
Nəsimi,Kubinka,3.0,152.0,19.0,24.0,50.666666666666664,659500.0,552545.0,106955.0,16.22
Nərimanov,Böyükşor,4.0,152.0,3.0,15.0,38.0,440000.0,546321.37,106321.37,24.16
Nəsimi,Kubinka,3.0,152.0,4.0,17.0,50.666666666666664,691000.0,585557.16,105442.83999999997,15.26
Xətai,Ağ Şəhər,4.0,181.0,6.0,7.0,45.25,1020000.0,914579.26,105420.73999999999,10.34
Səbail,Şıxov,3.0,118.0,4.0,7.0,39.333333333333336,219000.0,322989.89,103989.89000000001,47.48
Nəsimi,Kubinka,2.0,76.0,12.0,16.0,38.0,398000.0,297356.0,100644.0,25.29
Yasamal,Yasamal,3.0,104.0,5.0,9.0,34.666666666666664,443500.0,343669.59,99830.40999999997,22.51
Xətai,Əhmədli,4.0,153.0,5.0,16.0,38.25,283500.0,379350.69,95850.69,33.81
Nərimanov,Böyükşor,4.0,208.0,9.0,12.0,52.0,583000.0,677828.14,94828.14000000001,16.27
Nəsimi,Kubinka,3.0,120.0,11.0,24.0,40.0,530000.0,437678.06,92321.94,17.42
Sabunçu,Sea Breeze,5.0,180.0,9.0,9.0,36.0,720000.0,812263.33,92263.32999999996,12.81
Binəqədi,9-cu Mikrorayon,4.0,161.0,1.0,18.0,40.25,313000.0,402737.75,89737.75,28.67
Nəsimi,5-ci Mikrorayon,3.0,90.0,5.0,5.0,30.0,207000.0,295412.48,88412.47999999998,42.71
Nəsimi,Kubinka,3.0,127.0,6.0,24.0,42.333333333333336,564500.0,477220.56,87279.44,15.46
Nərimanov,Böyükşor,3.0,170.0,8.0,13.0,56.666666666666664,699500.0,612814.59,86685.41000000003,12.39
Xətai,Əhmədli,3.0,133.0,12.0,17.0,44.333333333333336,246000.0,328561.71,82561.71000000002,33.56
Xətai,Əhmədli,3.0,117.0,10.0,16.0,39.0,206000.0,286557.25,80557.25,39.11
Nəsimi,Kubinka,3.0,125.0,1.0,17.0,41.666666666666664,538000.0,460514.53,77485.46999999997,14.4
Xətai,Ağ Şəhər,3.0,123.0,15.0,16.0,41.0,638000.0,562148.99,75851.01000000001,11.89
Səbail,Bibiheybət,3.0,108.0,5.0,12.0,36.0,330000.0,256924.4,73075.6,22.14
Yasamal,Yasamal,4.0,158.0,18.0,18.0,39.5,574500.0,501967.91,72532.09000000003,12.63
Yasamal,Yasamal,4.0,158.0,14.0,18.0,39.5,430500.0,502597.51,72097.51000000001,16.75
Yasamal,Yasamal,4.0,134.0,2.0,5.0,33.5,332000.0,402667.46,70667.46000000002,21.29
Xətai,Ağ Şəhər,3.0,121.0,6.0,9.0,40.333333333333336,470000.0,540597.39,70597.39000000001,15.02
Yasamal,Yasamal,2.0,67.0,18.0,19.0,33.5,141000.0,209878.68,68878.68,48.85
Nizami,8-ci Kilometr,3.0,75.0,4.0,5.0,25.0,270000.0,201604.3,68395.70000000001,25.33
Nəsimi,2-ci Mikrorayon,3.0,83.0,2.0,5.0,27.666666666666668,312000.0,243879.7,68120.29999999999,21.83
Nərimanov,Böyükşor,4.0,173.0,5.0,14.0,43.25,536000.0,603708.95,67708.94999999995,12.63
Nərimanov,Böyükşor,3.0,105.0,6.0,19.0,35.0,454000.0,386764.97,67235.03000000003,14.81
Nərimanov,Böyükşor,2.0,94.0,6.0,16.0,47.0,374500.0,307727.65,66772.34999999998,17.83
Səbail,Şıxov,3.0,131.0,3.0,7.0,43.666666666666664,300000.0,365831.81,65831.81,21.94
Nəsimi,Kubinka,3.0,115.0,5.0,5.0,38.333333333333336,497500.0,432055.34,65444.659999999974,13.15
Binəqədi,Biləcəri,2.0,85.0,4.0,5.0,42.5,216000.0,151594.83,64405.17000000001,29.82
Nəsimi,Kubinka,3.0,132.0,11.0,16.0,44.0,575000.0,510660.81,64339.19,11.19
Səbail,Bayıl,3.0,85.0,17.0,17.0,28.333333333333332,272500.0,208327.47,64172.53,23.55
Binəqədi,28 May,3.0,93.0,4.0,18.0,31.0,364000.0,299887.64,64112.359999999986,17.61
Səbail,Badamdar,3.0,117.0,7.0,13.0,39.0,371000.0,306952.21,64047.78999999998,17.26
Xətai,Ağ Şəhər,3.0,105.0,15.0,18.0,35.0,462000.0,525065.78,63065.78000000003,13.65
Nəsimi,Kubinka,3.0,75.0,11.0,24.0,25.0,343500.0,284121.6,59378.40000000002,17.29
Xətai,Əhmədli,3.0,109.0,7.0,15.0,36.333333333333336,202000.0,261204.04,59204.04000000001,29.31
Xətai,Ağ Şəhər,3.0,131.0,11.0,17.0,43.666666666666664,583000.0,641613.24,58613.23999999999,10.05
Binəqədi,8-ci Mikrorayon,3.0,117.0,2.0,17.0,39.0,390000.0,331903.62,58096.380000000005,14.9
