district,sample_count,avg_actual_price,avg_predicted_price,avg_absolute_error,median_absolute_error,avg_percentage_error
Nərimanov,25,521860.0,536606.43,55310.84,43108.13,10.99
Xətai,61,344868.85,349539.61,47697.69,30953.27,13.86
Nəsimi,70,315828.57,300128.07,34415.01,24134.67,11.01
Yasamal,52,286480.77,290839.1,29583.57,24472.98,11.34
Səbail,48,217218.75,216386.73,28550.76,27105.13,13.78
Sabunçu,51,207480.39,207824.53,27514.56,17311.51,14.51
Binəqədi,71,220971.83,223438.73,23681.14,17056.75,11.7
Suraxanı,46,163717.39,161171.77,16643.08,13980.73,10.65
Xəzər,50,139770.0,137518.95,16453.92,14829.43,12.4
Nizami,34,171617.65,171894.78,15555.48,11988.02,9.4
Qaradağ,30,106716.67,106049.81,13260.43,12201.34,12.82
Abşeron,42,108595.24,107802.01,7004.8,4777.38,6.13
