location,sample_count,avg_actual_price,avg_predicted_price,avg_absolute_error,median_absolute_error,avg_percentage_error
Ağ Şəhər,22,572840.91,574740.06,84830.54,66831.59,16.25
Sea Breeze,8,459937.5,479520.78,66045.14,62289.23,16.52
Kubinka,21,468500.0,417928.93,65256.74,59378.4,14.71
Böyükşor,25,521860.0,536606.43,55310.84,43108.13,10.99
28 May,3,331000.0,331134.57,42876.15,45277.36,12.55
Şıxov,10,223450.0,231012.98,33416.61,27822.02,13.85
5-ci Mikrorayon,11,230409.09,236467.29,33003.94,22403.67,16.47
Bakıxanov,13,243269.23,217427.7,32464.89,37610.4,13.19
Əhmədli,26,238711.54,252594.35,31526.11,28967.19,13.96
Bayıl,9,219500.0,224425.17,30623.35,27255.83,16.03
Badamdar,11,259636.36,254013.45,29935.39,30254.12,12.35
Yasamal,52,286480.77,290839.1,29583.57,24472.98,11.34
Bibiheybət,11,216636.36,207040.07,27429.58,26038.83,13.64
2-ci Mikrorayon,7,233642.86,226293.51,24517.07,24578.5,11.32
7-ci Mikrorayon,7,236571.43,228413.09,24259.88,18319.26,10.67
8-ci Mikrorayon,16,269562.5,270136.33,24156.11,21553.26,8.85
Binəqədi,10,138900.0,153598.95,24111.98,22260.05,20.31
Sabunçu,7,218428.57,241522.18,23093.61,23163.33,10.84
9-cu Mikrorayon,14,231571.43,240580.11,22896.68,12829.9,10.27
Biləcəri,9,172888.89,168920.37,21968.87,17056.75,12.91
Mərdəkan,14,172821.43,177324.18,20494.99,20474.56,12.09
6-cı Mikrorayon,12,211666.67,210439.91,19751.87,14989.73,9.48
3-cü Mikrorayon,11,284181.82,282004.38,18544.79,19534.92,6.88
20-ci Sahə,7,139642.86,140716.83,18520.83,17467.77,13.25
Hövsan,7,155500.0,159881.88,18182.17,23028.45,12.97
Günəşli,15,179933.33,178507.62,17863.68,13794.13,9.88
Köhnə Günəşli,13,171384.62,162321.67,17200.63,16859.67,9.62
Buzovna,12,169208.33,164541.93,16747.64,15840.18,9.73
1-ci Mikrorayon,15,275200.0,274795.47,15869.27,16845.46,5.85
Qaraçuxur,11,164045.45,154316.3,15748.22,14167.32,9.76
8-ci Kilometr,34,171617.65,171894.78,15555.48,11988.02,9.4
Zığ,13,149153.85,147664.21,15163.15,11504.75,11.05
Lökbatan,17,110235.29,105780.08,14244.46,13377.31,12.92
Binə,24,105770.83,100787.74,13949.76,11321.62,13.91
Savalan,6,108666.67,109646.4,13837.47,14594.56,12.77
Ramana,6,86750.0,95904.84,13114.36,10607.52,18.42
Müşfiqabad,4,79875.0,90031.33,12824.8,8479.24,15.89
4-cü Mikrorayon,5,169100.0,164656.48,12392.86,9379.08,7.57
Zabrat,11,94363.64,92032.88,11770.16,7297.57,15.75
Sahil,9,112000.0,113678.61,11595.33,10186.62,11.26
Masazır,12,113291.67,115408.36,10108.34,8049.15,8.4
Saray,9,96444.44,94146.07,6490.06,2402.69,6.33
Mehdiabad,10,112400.0,108313.76,5531.36,4468.72,4.83
Ceyranbatan,11,109954.55,110211.99,5379.76,4208.55,4.67
